"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"2143",131000,1490,1026.8,72,0.393,0.393,-9.159803012611e-05+1.47455300004108e-03i,0.0012939609271426+0.00237240945029551i,0.00403048342391103,-47.892857212435
"2144",132000,1490,1026.8,72,0.393,0.393,0.00154780636985057-0.00107321144840105i,-0.00084451646999961-0.00152078593913637i,0.00268764564810605,-51.4125598255841
"2145",133000,1490,1026.8,72,0.393,0.393,-0.00205672185957867-0.00032231945421738i,0.00114699869232759+0.00085978443754047i,0.00105662900269292,-59.5215494566154
"2146",134000,1490,1026.8,72,0.393,0.393,0.00120678139496981+0.00154480351884529i,-0.00184200453810672-0.00079859982552188i,0.000979963465393596,-60.1758023039812
"2147",135000,1490,1026.8,72,0.393,0.393,0.00029005996615811-0.00158788267522178i,0.00241774710277173+0.00140670830966313i,0.00271386132167471,-51.3282469711838
"2148",136000,1490,1026.8,72,0.393,0.393,-0.00120281530821752+0.0004509288013281i,-0.00246631021567046-0.00240933212281381i,0.00415906548152977,-47.6200848384663
"2149",137000,1490,1026.8,72,0.393,0.393,8.20627338139759e-04+8.64746028769963e-04i,0.00187646284712559+0.00334889273608185i,0.00500290386756697,-46.0155568429367
"2150",138000,1490,1026.8,72,0.393,0.393,0.00044854366525293-0.00120639594115334i,-0.0008711073112613-0.00382993035507643i,0.00505402241754262,-45.9272567212407
"2151",139000,1490,1026.8,72,0.393,0.393,-0.00142633522595241+0.00025158607133121i,-0.00012655789755309+0.00372502343504845i,0.00426906315475184,-47.3933484075174
"2152",140000,1490,1026.8,72,0.393,0.393,0.00116951496906483+0.00120827080789973i,0.00073001935548723-0.00323836199110917i,0.00278019798976551,-51.1184855003374
"2153",141000,1490,1026.8,72,0.393,0.393,0.00021373819773044-0.001927897126649i,-0.00080975429603017+0.0027932558367419i,0.0010507525334569,-59.5699910839804
"2154",142000,1490,1026.8,72,0.393,0.393,-0.00162999091276738+0.00126256601078822i,0.00058321608903046-0.00279703318498412i,0.00185750559630226,-54.6213973824161
