"","frequency","c.w","rho.w","theta","L","scale","f1","f2","sigma","TS"
"10464",71000,1490,1026.8,101,0.422,0.422,-0.00384163116296045-0.00187696834300737i,0.0176817656645111+0.000236183989196i,0.0139370547934893,-37.1165798505503
"10465",72000,1490,1026.8,101,0.422,0.422,-0.00013750014047352+0.00252545387208497i,-0.0092833041781521-0.0140298761161612i,0.0148695421980581,-36.5540480457247
"10466",73000,1490,1026.8,101,0.422,0.422,5.41093080356987e-04+4.81508000887318e-04i,-0.0060327461526335+0.0148186529052006i,0.0162558659325926,-35.7797978229817
"10467",74000,1490,1026.8,101,0.422,0.422,2.41800496594527e-03-2.92509871421e-06i,0.0148677290342256-0.0032413498694339i,0.0175875501418935,-35.095893027742
"10468",75000,1490,1026.8,101,0.422,0.422,-0.00155414905767418-0.00389908025337239i,-0.0105599923276853-0.0099054696544629i,0.0183662195255963,-34.7196045800763
"10469",76000,1490,1026.8,101,0.422,0.422,-0.00334164117780426+0.00376552594721795i,-0.0020541828343174+0.0136333206249791i,0.0182163327487352,-34.7907809855617
"10470",77000,1490,1026.8,101,0.422,0.422,0.0045514667061311+0.0011704242325959i,0.0118061549805742-0.0057775914974716i,0.0169940512371804,-35.3940615336031
"10471",78000,1490,1026.8,101,0.422,0.422,-0.00060192244789519-0.00321103068689247i,-0.0109479899978739-0.0061344970821791i,0.0148573001177003,-36.5612020759987
"10472",79000,1490,1026.8,101,0.422,0.422,-0.00111616189196609+0.00033446334368701i,0.0011255555173312+0.0119499764585482i,0.0122844433937781,-38.2128903310725
"10473",80000,1490,1026.8,101,0.422,0.422,-0.00164435910530097+0.00039069835432544i,0.00881513694014866-0.00738875698264293i,0.0100196247096442,-39.9829708978844
"10474",81000,1490,1026.8,101,0.422,0.422,0.00186181974668141+0.00334000130603908i,-0.0106408935987837-0.0029588733468616i,0.00878734295574789,-41.12284846917
"10475",82000,1490,1026.8,101,0.422,0.422,0.00299883994861223-0.00425668476012541i,0.0034262738300647+0.0100589374621746i,0.00865726420339485,-41.2523865686201
"10476",83000,1490,1026.8,101,0.422,0.422,-0.00541178512895745-0.0007850466318483i,0.00616862104504157-0.00817779628027751i,0.00899474033373497,-40.9202273929029
"10477",84000,1490,1026.8,101,0.422,0.422,0.00137662432112128+0.004331662205523i,-0.00987660625119952-0.00053432153570547i,0.00930964494351459,-40.6213376414103
"10478",85000,1490,1026.8,101,0.422,0.422,0.00212839129433602-0.00163504877530062i,0.00486316803763646+0.00823613941515026i,0.00961541988308374,-40.3406349275744
"10479",86000,1490,1026.8,101,0.422,0.422,3.1498716830282e-05-9.51982469830939e-04i,0.00407350112813245-0.00831632905677213i,0.0101366968131294,-39.8820708596995
"10480",87000,1490,1026.8,101,0.422,0.422,-0.00194007374971934-0.00180777239756719i,-0.00890954794039015+0.00107741905616399i,0.0108741761445083,-39.2720727278295
"10481",88000,1490,1026.8,101,0.422,0.422,-0.00177900644206678+0.00414047020264284i,0.00553683784927571+0.00671636660058869i,0.0114887859348588,-38.794517249819
"10482",89000,1490,1026.8,101,0.422,0.422,0.00542268607974995-0.0002458095704318i,0.0026540453548106-0.00802100708302073i,0.0115574152926949,-38.7427856187104
"10483",90000,1490,1026.8,101,0.422,0.422,-0.00255251281573137-0.00450217160317517i,-0.00798262345988494+0.00190721336004031i,0.010850018646501,-39.2913903089993
"10484",91000,1490,1026.8,101,0.422,0.422,-0.00215570292662264+0.0031424356595308i,0.00561574422001514+0.00567161872268706i,0.00946886690183546,-40.4740397604261
"10485",92000,1490,1026.8,101,0.422,0.422,0.00161242693304751+0.00048765194546358i,0.00194486551132185-0.00752675731157222i,0.00788690902001201,-42.0618633795861
"10486",93000,1490,1026.8,101,0.422,0.422,9.55279439898074e-04+4.77146320439643e-04i,-0.00730163488917718+0.00206843874972947i,0.00683785279441306,-43.3016050589788
"10487",94000,1490,1026.8,101,0.422,0.422,0.00107506600650482-0.0030201725965468i,0.00531305428909469+0.0051965126569697i,0.00674866927398668,-43.4156370883857
"10488",95000,1490,1026.8,101,0.422,0.422,-0.00468021924834518+0.0004513649903939i,0.00189282217470112-0.00705958385670946i,0.00717203869421299,-42.8871475204072
